Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	4:5 3/3/2020	118
lol	14:4 3/3/2020	96
Tom	14:51 3/3/2020	94
Mallz	14:51 3/3/2020	127
chav	14:51 3/3/2020	104
Mike	14:51 3/3/2020	139
ka	14:51 3/3/2020	140
Mike	18:32 3/3/2020	135
Jim	18:36 3/3/2020	89
Tom	18:36 3/3/2020	215
Lana	18:39 3/3/2020	112
TomH	18:39 3/3/2020	123
Mike	21:59 3/3/2020	123
Jim	21:59 3/3/2020	97
Mike	22:0 3/3/2020	139
Jim	22:0 3/3/2020	102
Mike	22:13 3/3/2020	137
Jim	22:13 3/3/2020	94
Mike	22:42 3/3/2020	125
Jim	22:42 3/3/2020	136
Mike	2:19 3/4/2020	125
Jim	2:19 3/4/2020	117
Mike	2:23 3/4/2020	128
Jim	2:23 3/4/2020	160
Tom	2:25 3/4/2020	135
